Individual,figure,filename,Experiment,treatment,dpf,protocol,clutch,sample purpose,length [mm],comment
T280206,2c,iSeq049-TM-T280-LHamp_S293_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.739,re-sequenced to increase read numbers
T280206,2c,iSeq049-TM-T280-LHamp_S293_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.739,re-sequenced to increase read numbers
T281207,2c,iSeq049-TM-T281-LHamp_S294_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,10.295,re-sequenced to increase read numbers
T281207,2c,iSeq049-TM-T281-LHamp_S294_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,10.295,re-sequenced to increase read numbers
T282208,2c,iSeq049-TM-T282-LHamp_S295_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,10.503,re-sequenced to increase read numbers
T282208,2c,iSeq049-TM-T282-LHamp_S295_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,10.503,re-sequenced to increase read numbers
T283209,2c,iSeq049-TM-T283-LHamp_S296_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.01,re-sequenced to increase read numbers
T283209,2c,iSeq049-TM-T283-LHamp_S296_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.01,re-sequenced to increase read numbers
T284210,2c,iSeq049-TM-T284-LHamp_S297_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.127,re-sequenced to increase read numbers
T284210,2c,iSeq049-TM-T284-LHamp_S297_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,8.127,re-sequenced to increase read numbers
T285211,2c,iSeq049-TM-T285-LHamp_S298_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,10.201,re-sequenced to increase read numbers
T285211,2c,iSeq049-TM-T285-LHamp_S298_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,10.201,re-sequenced to increase read numbers
T286212,2c,iSeq049-TM-T286-LHamp_S299_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,9.203,re-sequenced to increase read numbers
T286212,2c,iSeq049-TM-T286-LHamp_S299_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,lh-amp,B,ref.conformity,9.203,re-sequenced to increase read numbers
T213139,2c,iSeq049-TM-T139-PBAT_S152_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.096,re-sequenced to increase read numbers
T213139,2c,iSeq049-TM-T139-PBAT_S152_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.096,re-sequenced to increase read numbers
T214140,2c,iSeq049-TM-T140-PBAT_S153_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.416,re-sequenced to increase read numbers
T214140,2c,iSeq049-TM-T140-PBAT_S153_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.416,re-sequenced to increase read numbers
T215141,2c,iSeq049-TM-T141-PBAT_S154_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.646,re-sequenced to increase read numbers
T215141,2c,iSeq049-TM-T141-PBAT_S154_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.646,re-sequenced to increase read numbers
T216142,2c,iSeq049-TM-T142-PBAT_S155_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.628,re-sequenced to increase read numbers
T216142,2c,iSeq049-TM-T142-PBAT_S155_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.628,re-sequenced to increase read numbers
T217143,2c,iSeq049-TM-T143-PBAT_S156_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.318,re-sequenced to increase read numbers
T217143,2c,iSeq049-TM-T143-PBAT_S156_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.318,re-sequenced to increase read numbers
T218144,2c,iSeq049-TM-T144-PBAT_S157_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.006,re-sequenced to increase read numbers
T218144,2c,iSeq049-TM-T144-PBAT_S157_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.006,re-sequenced to increase read numbers
T219145,2c,iSeq049-TM-T145-PBAT_S158_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.972,re-sequenced to increase read numbers
T219145,2c,iSeq049-TM-T145-PBAT_S158_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,10.972,re-sequenced to increase read numbers
T220146,2c,iSeq049-TM-T146-PBAT_S159_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,9.377,re-sequenced to increase read numbers
T220146,2c,iSeq049-TM-T146-PBAT_S159_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,9.377,re-sequenced to increase read numbers
T221147,2c,iSeq049-TM-T147-PBAT_S160_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,6.902,re-sequenced to increase read numbers
T221147,2c,iSeq049-TM-T147-PBAT_S160_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,6.902,re-sequenced to increase read numbers
T222148,2c,iSeq049-TM-T148-PBAT_S161_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,9.285,re-sequenced to increase read numbers
T222148,2c,iSeq049-TM-T148-PBAT_S161_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,9.285,re-sequenced to increase read numbers
T223149,2c,iSeq049-TM-T149-PBAT_S162_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,7.831,re-sequenced to increase read numbers
T223149,2c,iSeq049-TM-T149-PBAT_S162_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,7.831,re-sequenced to increase read numbers
T224150,2c,iSeq049-TM-T150-PBAT_S163_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,8.879,re-sequenced to increase read numbers
T224150,2c,iSeq049-TM-T150-PBAT_S163_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,A,femaleness,8.879,re-sequenced to increase read numbers
T225151,2c,iSeq049-TM-T151-PBAT_S164_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.439,re-sequenced to increase read numbers
T225151,2c,iSeq049-TM-T151-PBAT_S164_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.439,re-sequenced to increase read numbers
T226152,2c,iSeq049-TM-T152-PBAT_S165_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,8.616,re-sequenced to increase read numbers
T226152,2c,iSeq049-TM-T152-PBAT_S165_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,8.616,re-sequenced to increase read numbers
T227153,2c,iSeq049-TM-T153-PBAT_S166_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,7.363,re-sequenced to increase read numbers
T227153,2c,iSeq049-TM-T153-PBAT_S166_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,7.363,re-sequenced to increase read numbers
T229155,2c,iSeq049-TM-T155-PBAT_S168_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,7.947,re-sequenced to increase read numbers
T229155,2c,iSeq049-TM-T155-PBAT_S168_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,7.947,re-sequenced to increase read numbers
T230156,2c,iSeq049-TM-T156-PBAT_S169_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,7.518,re-sequenced to increase read numbers
T230156,2c,iSeq049-TM-T156-PBAT_S169_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,7.518,re-sequenced to increase read numbers
T231157,2c,iSeq049-TM-T157-PBAT_S170_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.542,re-sequenced to increase read numbers
T231157,2c,iSeq049-TM-T157-PBAT_S170_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.542,re-sequenced to increase read numbers
T232158,2c,iSeq049-TM-T158-PBAT_S171_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.751,re-sequenced to increase read numbers
T232158,2c,iSeq049-TM-T158-PBAT_S171_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.751,re-sequenced to increase read numbers
T233159,2c,iSeq049-TM-T159-PBAT_S172_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,8.795,re-sequenced to increase read numbers
T233159,2c,iSeq049-TM-T159-PBAT_S172_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,8.795,re-sequenced to increase read numbers
T234160,2c,iSeq049-TM-T160-PBAT_S173_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,8.718,re-sequenced to increase read numbers
T234160,2c,iSeq049-TM-T160-PBAT_S173_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,8.718,re-sequenced to increase read numbers
T235161,2c,iSeq049-TM-T161-PBAT_S174_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,8.58,re-sequenced to increase read numbers
T235161,2c,iSeq049-TM-T161-PBAT_S174_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,8.58,re-sequenced to increase read numbers
T236162,2c,iSeq049-TM-T162-PBAT_S175_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.135,re-sequenced to increase read numbers
T236162,2c,iSeq049-TM-T162-PBAT_S175_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.135,re-sequenced to increase read numbers
T237163,2c,iSeq049-TM-T163-PBAT_S176_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,10.168,re-sequenced to increase read numbers
T237163,2c,iSeq049-TM-T163-PBAT_S176_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,10.168,re-sequenced to increase read numbers
T238164,2c,iSeq049-TM-T164-PBAT_S177_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.614,re-sequenced to increase read numbers
T238164,2c,iSeq049-TM-T164-PBAT_S177_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.614,re-sequenced to increase read numbers
T239165,2c,iSeq049-TM-T165-PBAT_S178_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.64,re-sequenced to increase read numbers
T239165,2c,iSeq049-TM-T165-PBAT_S178_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.64,re-sequenced to increase read numbers
T240166,2c,iSeq049-TM-T166-PBAT_S179_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.078,re-sequenced to increase read numbers
T240166,2c,iSeq049-TM-T166-PBAT_S179_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.078,re-sequenced to increase read numbers
T241167,2c,iSeq049-TM-T167-PBAT_S180_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,8.921,re-sequenced to increase read numbers
T241167,2c,iSeq049-TM-T167-PBAT_S180_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,8.921,re-sequenced to increase read numbers
T242168,2c,iSeq049-TM-T168-PBAT_S181_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.796,re-sequenced to increase read numbers
T242168,2c,iSeq049-TM-T168-PBAT_S181_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.796,re-sequenced to increase read numbers
T243169,2c,iSeq049-TM-T169-PBAT_S182_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.395,re-sequenced to increase read numbers
T243169,2c,iSeq049-TM-T169-PBAT_S182_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,9.395,re-sequenced to increase read numbers
T244170,2c,iSeq049-TM-T170-PBAT_S183_L001_R1_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,7.518,re-sequenced to increase read numbers
T244170,2c,iSeq049-TM-T170-PBAT_S183_L001_R2_001.fastq,45S-M_KO_29dpf_02,Uninjected,29,PBAT,B,femaleness,7.518,re-sequenced to increase read numbers
T245171,2c,iSeq049-TM-T171-PBAT_S184_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,10.479,re-sequenced to increase read numbers
T245171,2c,iSeq049-TM-T171-PBAT_S184_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,10.479,re-sequenced to increase read numbers
T246172,2c,iSeq049-TM-T172-PBAT_S185_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,9.161,re-sequenced to increase read numbers
T246172,2c,iSeq049-TM-T172-PBAT_S185_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,9.161,re-sequenced to increase read numbers
T247173,2c,iSeq049-TM-T173-PBAT_S186_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,8.127,re-sequenced to increase read numbers
T247173,2c,iSeq049-TM-T173-PBAT_S186_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,8.127,re-sequenced to increase read numbers
T248174,2c,iSeq049-TM-T174-PBAT_S187_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,8.808,re-sequenced to increase read numbers
T248174,2c,iSeq049-TM-T174-PBAT_S187_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,8.808,re-sequenced to increase read numbers
T249175,2c,iSeq049-TM-T175-PBAT_S188_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,10.29,re-sequenced to increase read numbers
T249175,2c,iSeq049-TM-T175-PBAT_S188_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,10.29,re-sequenced to increase read numbers
T250176,2c,iSeq049-TM-T176-PBAT_S189_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,9.074,re-sequenced to increase read numbers
T250176,2c,iSeq049-TM-T176-PBAT_S189_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,9.074,re-sequenced to increase read numbers
T251177,2c,iSeq049-TM-T177-PBAT_S190_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,7.23,re-sequenced to increase read numbers
T251177,2c,iSeq049-TM-T177-PBAT_S190_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,7.23,re-sequenced to increase read numbers
T252178,2c,iSeq049-TM-T178-PBAT_S191_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,7.485,re-sequenced to increase read numbers
T252178,2c,iSeq049-TM-T178-PBAT_S191_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,7.485,re-sequenced to increase read numbers
T253179,2c,iSeq049-TM-T179-PBAT_S192_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,8.399,re-sequenced to increase read numbers
T253179,2c,iSeq049-TM-T179-PBAT_S192_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,8.399,re-sequenced to increase read numbers
T254180,2c,iSeq049-TM-T180-PBAT_S193_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,6.949,re-sequenced to increase read numbers
T254180,2c,iSeq049-TM-T180-PBAT_S193_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,6.949,re-sequenced to increase read numbers
T255181,2c,iSeq049-TM-T181-PBAT_S194_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,6.19,re-sequenced to increase read numbers
T255181,2c,iSeq049-TM-T181-PBAT_S194_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,6.19,re-sequenced to increase read numbers
T256182,2c,iSeq049-TM-T182-PBAT_S195_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,7.589,re-sequenced to increase read numbers
T256182,2c,iSeq049-TM-T182-PBAT_S195_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,7.589,re-sequenced to increase read numbers
T257183,2c,iSeq049-TM-T183-PBAT_S196_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,7.641,re-sequenced to increase read numbers
T257183,2c,iSeq049-TM-T183-PBAT_S196_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,7.641,re-sequenced to increase read numbers
T258184,2c,iSeq049-TM-T184-PBAT_S197_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,5.811,re-sequenced to increase read numbers
T258184,2c,iSeq049-TM-T184-PBAT_S197_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,5.811,re-sequenced to increase read numbers
T259185,2c,iSeq049-TM-T185-PBAT_S198_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,9.042,re-sequenced to increase read numbers
T259185,2c,iSeq049-TM-T185-PBAT_S198_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,9.042,re-sequenced to increase read numbers
T260186,2c,iSeq049-TM-T186-PBAT_S199_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,9.203,re-sequenced to increase read numbers
T260186,2c,iSeq049-TM-T186-PBAT_S199_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (3 guides targeting 45S-M promoter),29,PBAT,B,femaleness,9.203,re-sequenced to increase read numbers
T261187,2c,iSeq049-TM-T187-PBAT_S200_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,10.023,re-sequenced to increase read numbers
T261187,2c,iSeq049-TM-T187-PBAT_S200_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,10.023,re-sequenced to increase read numbers
T262188,2c,iSeq049-TM-T188-PBAT_S201_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,8.964,re-sequenced to increase read numbers
T262188,2c,iSeq049-TM-T188-PBAT_S201_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,8.964,re-sequenced to increase read numbers
T263189,2c,iSeq049-TM-T189-PBAT_S202_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,9.857,re-sequenced to increase read numbers
T263189,2c,iSeq049-TM-T189-PBAT_S202_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,9.857,re-sequenced to increase read numbers
T264190,2c,iSeq049-TM-T190-PBAT_S203_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,10.421,re-sequenced to increase read numbers
T264190,2c,iSeq049-TM-T190-PBAT_S203_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,10.421,re-sequenced to increase read numbers
T265191,2c,iSeq049-TM-T191-PBAT_S204_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,9.899,re-sequenced to increase read numbers
T265191,2c,iSeq049-TM-T191-PBAT_S204_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,9.899,re-sequenced to increase read numbers
T266192,2c,iSeq049-TM-T192-PBAT_S205_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,10.658,re-sequenced to increase read numbers
T266192,2c,iSeq049-TM-T192-PBAT_S205_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,10.658,re-sequenced to increase read numbers
T267193,2c,iSeq049-TM-T193-PBAT_S206_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,10.734,re-sequenced to increase read numbers
T267193,2c,iSeq049-TM-T193-PBAT_S206_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,10.734,re-sequenced to increase read numbers
T268194,2c,iSeq049-TM-T194-PBAT_S207_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,8.766,re-sequenced to increase read numbers
T268194,2c,iSeq049-TM-T194-PBAT_S207_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,8.766,re-sequenced to increase read numbers
T269195,2c,iSeq049-TM-T195-PBAT_S208_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,9.982,re-sequenced to increase read numbers
T269195,2c,iSeq049-TM-T195-PBAT_S208_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,9.982,re-sequenced to increase read numbers
T270196,2c,iSeq049-TM-T196-PBAT_S209_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,9.653,re-sequenced to increase read numbers
T270196,2c,iSeq049-TM-T196-PBAT_S209_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,9.653,re-sequenced to increase read numbers
T271197,2c,iSeq049-TM-T197-PBAT_S210_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,8.093,re-sequenced to increase read numbers
T271197,2c,iSeq049-TM-T197-PBAT_S210_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,8.093,re-sequenced to increase read numbers
T272198,2c,iSeq049-TM-T198-PBAT_S211_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,10.174,re-sequenced to increase read numbers
T272198,2c,iSeq049-TM-T198-PBAT_S211_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,10.174,re-sequenced to increase read numbers
T273199,2c,iSeq049-TM-T199-PBAT_S212_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,7.23,re-sequenced to increase read numbers
T273199,2c,iSeq049-TM-T199-PBAT_S212_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,7.23,re-sequenced to increase read numbers
T274200,2c,iSeq049-TM-T200-PBAT_S213_L001_R1_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,7.629,re-sequenced to increase read numbers
T274200,2c,iSeq049-TM-T200-PBAT_S213_L001_R2_001.fastq,45S-M_KO_29dpf_02,cas9-guide RNP (1 guide targeting GFP),29,PBAT,A,femaleness,7.629,re-sequenced to increase read numbers
